lev_id,E_calc,J,P,lev_name
255,23.18914,17/2,1,id 255 E_c 23189.14 4f(3)4I1.5d_3L.6s_4L 17/2
256,23.22992,7/2,1,id 256 E_c 23229.92 4f(3)4I1.5d_5G.6s_4G 7/2
257,23.25412,15/2,1,id 257 E_c 23254.12 4f(3)4I1.5d_3L.6s_2L 15/2
258,23.27447,15/2,1,id 258 E_c 23274.47 4f(3)4I1.5d(2)3P2_6I 15/2
259,23.30725,3/2,0,id 259 E_c 23307.25 4f(4)5F1.5d_4F 3/2
260,23.33898,9/2,1,id 260 E_c 23338.98 4f(3)4I1.5d(2)3F2_4F 9/2
261,23.33905,11/2,1,id 261 E_c 23339.05 4f(3)4I1.5d_5H.6s_4H 11/2
262,23.35704,9/2,0,id 262 E_c 23357.04 4f(4)3G2.6s_4G 9/2
263,23.4188,17/2,1,id 263 E_c 23418.8 4f(3)4I1.5d(2)3F2_2M 17/2
264,23.42857,13/2,0,id 264 E_c 23428.57 4f(4)5G1.6s_6G 13/2
265,23.53052,11/2,1,id 265 E_c 23530.52 4f(3)4I1.5d(2)1G2_4K 11/2
266,23.57697,19/2,1,id 266 E_c 23576.97 4f(3)4I1.5d(2)3P2_6K 19/2
267,23.584,1/2,0,id 267 E_c 23584.0 4f(4)3D1.6s_4D 1/2
268,23.60206,17/2,0,id 268 E_c 23602.06 4f(4)3L1.6s_4L 17/2
269,23.60679,9/2,1,id 269 E_c 23606.79 4f(3)4I1.5d(2)1D2_4G 9/2
270,23.60949,15/2,0,id 270 E_c 23609.49 4f(4)3K2.5d_4L 15/2
271,23.6275,15/2,1,id 271 E_c 23627.5 4f(3)4I1.5d_3K.6s_2K 15/2
272,23.66554,11/2,0,id 272 E_c 23665.54 4f(4)5F1.5d_6F 11/2
273,23.69516,9/2,1,id 273 E_c 23695.16 4f(4)5I1.6p_6K 9/2
274,23.70039,7/2,0,id 274 E_c 23700.39 4f(4)5F1.5d_4H 7/2
275,23.83179,15/2,0,id 275 E_c 23831.79 4f(4)3L1.6s_2L 15/2
276,23.87069,3/2,0,id 276 E_c 23870.69 4f(4)3D1.6s_2D 3/2
277,24.0429,21/2,0,id 277 E_c 24042.9 4f(4)3K2.5d_4M 21/2
278,24.04576,11/2,1,id 278 E_c 24045.76 4f(3)4I1.5d(2)3F2_2H 11/2
279,24.05548,7/2,0,id 279 E_c 24055.48 4f(4)5F1.5d_4G 7/2
280,24.104,9/2,1,id 280 E_c 24104.0 4f(3)4I1.5d(2)1G2_4I 9/2
281,24.15078,9/2,1,id 281 E_c 24150.78 4f(4)5I1.6p_4H 9/2
282,24.1713,15/2,1,id 282 E_c 24171.3 4f(4)5I1.6p_6I 15/2
283,24.20371,17/2,1,id 283 E_c 24203.71 4f(3)4I1.5d_3K.6s_4K 17/2
284,24.27428,17/2,1,id 284 E_c 24274.28 4f(3)4I1.5d(2)3F2_2L 17/2
285,24.27848,7/2,1,id 285 E_c 24278.48 4f(3)4F1.5d(2)3F2_6I 7/2
286,24.29129,15/2,1,id 286 E_c 24291.29 4f(3)4I1.5d(2)3F2_2K 15/2
287,24.30565,19/2,1,id 287 E_c 24305.65 4f(3)4I1.5d(2)1G2_4N 19/2
