wn_obs,wn_obs_unc,I_obs,snr_obs
17.693268245,1.6855470143e-05,604.17752478,5.2628441951
17.69405669,1.4171929382e-05,718.40544465,6.2608665259
17.694710422,1.7208363684e-05,591.25458412,5.1548001172
17.696093249,1.1400850131e-05,3948.2288711,18.841245671
17.696503847,1.4742591685e-05,895.14453691,6.5733035349
17.697153186,1.8009483089e-05,2690.8179006,11.941590419
17.699058243,1.9912231781e-05,2477.8176743,10.944994863
17.699317289,2.1182221525e-05,492.93130116,4.2599136812
17.700245396,4.4792764222e-06,2488.2020342,19.511323885
17.700491675,5.6061684656e-06,3036.8709442,18.994371842
17.700880894,1.4124517818e-05,879.61865549,6.741095854
17.701307112,1.9332190996e-05,662.30724639,4.9657158714
17.702231581,1.4304518592e-05,1930.4023676,8.697243399
17.702584075,3.0861729461e-05,927.56928097,4.0789325749
17.703647877,1.6068157174e-05,466.72391566,4.9874468927
17.706605583,1.1933217242e-05,4616.4399616,19.040694139
17.708416165,1.1347928467e-05,2070.1956359,9.3887446501
17.709272201,1.3320438268e-05,3186.4833391,10.130362664
17.710736882,1.3540832235e-05,744.38998061,6.5531706668
17.711781342,1.9647184494e-05,672.21237403,4.9480430809
17.712055496,6.531269569e-06,2316.2885784,14.309564116
17.712345925,8.6701867851e-06,2073.4282026,18.683838019
17.712679889,3.5990204963e-06,4267.4665169,44.518566204
17.713365262,2.3687811347e-05,415.69710842,3.7170631043
17.714242187,1.9573473274e-05,881.20932969,5.4373334193
17.71525248,4.6704748555e-06,6652.7988899,42.050839664
17.715605797,1.2622259255e-05,1125.01166,7.9019058071
17.716010193,1.0352425289e-05,476.99128224,6.7346453103
17.716847547,1.215267503e-05,1225.4349837,8.3425904628
17.717364236,1.4074661584e-05,1527.8673517,12.114293342
17.717728524,3.0837520504e-05,744.90799174,3.8026889521
17.718691806,1.2825855788e-05,2402.7493877,15.021490145
17.719058982,3.3062336242e-05,1096.3128598,4.1350006756
17.719485959,1.6445910266e-05,495.07445535,5.0269429507
17.719784635,2.1188624934e-05,303.54568217,3.6009245093
17.720009405,1.4570670838e-05,2162.7715926,13.021672627
17.720588453,2.7352609441e-05,1124.1382518,4.7313400351
17.721377129,1.3193870972e-05,1068.4108785,7.549238823
17.7239491,1.386798862e-05,2158.7465891,9.2585769835
17.724979716,2.5253831031e-05,412.41132717,3.5616479378
17.725614904,3.7238107414e-05,1387.2090816,4.1396416357
17.726351205,1.2827870361e-05,882.89257988,7.2188157916
17.727030051,1.6081174703e-06,9530.4241728,63.330731274
17.727703262,2.7752596738e-05,255.65676468,2.8744718716
17.728599995,4.1428055675e-06,7326.5112634,48.126158765
17.729346607,9.2941967837e-06,3699.17855,22.301026026
17.729764555,2.8773030477e-05,459.49426119,3.3916507878
17.730349001,2.943341188e-05,631.17286161,3.7188520807
17.730938534,3.1601053719e-05,418.16014526,3.0882530848
17.731977919,1.6017393203e-05,2380.4660708,8.706605027
17.732455016,8.6139910141e-06,1187.4607017,10.407008668
